Longitude,Latitude
-82.30000000000084,23.700000000000067
-85.20000000000067,27.900000000000126
-85.30000000000067,28.000000000000128
-85.40000000000066,28.10000000000013
-85.60000000000065,28.20000000000013
-85.80000000000064,28.300000000000132
-86.00000000000063,28.400000000000134
-87.40000000000055,29.100000000000144
-87.50000000000054,29.100000000000144
-87.60000000000053,29.100000000000144
-87.70000000000053,29.100000000000144
-87.80000000000052,29.100000000000144
-87.90000000000052,29.100000000000144
-94.70000000000013,27.000000000000114
-94.90000000000012,26.900000000000112
-95.3000000000001,26.70000000000011
-95.40000000000009,26.600000000000108
-95.90000000000006,26.0000000000001
-96.40000000000003,24.900000000000084
-96.9,23.800000000000068
-97.0,23.500000000000064
-97.0,23.400000000000063
-97.0,23.30000000000006
-97.0,23.20000000000006
-97.0,23.10000000000006
-97.0,23.000000000000057
-97.0,22.900000000000055
-97.0,22.800000000000054
-97.0,22.700000000000053
-97.0,22.60000000000005
-97.0,22.50000000000005
-97.0,22.40000000000005
-97.0,22.300000000000047
-97.0,22.200000000000045
-97.0,22.100000000000044
-97.0,22.000000000000043
-97.0,21.90000000000004
-97.0,21.80000000000004
-97.0,21.70000000000004
-97.0,21.600000000000037
-96.40000000000003,20.000000000000014
-96.30000000000004,19.80000000000001
-96.00000000000006,19.400000000000006
-95.90000000000006,19.300000000000004
-95.50000000000009,19.0
-95.40000000000009,19.0
-95.3000000000001,19.0
-95.2000000000001,19.0
-95.10000000000011,19.0
-95.00000000000011,19.0
-94.90000000000012,19.0
-94.80000000000013,19.0
-94.70000000000013,19.0
-94.60000000000014,19.0
-84.8000000000007,22.100000000000044
-84.50000000000071,22.200000000000045
-82.60000000000082,22.900000000000055
-82.40000000000083,23.000000000000057
-82.30000000000084,23.10000000000006
-82.20000000000084,23.20000000000006
-82.20000000000084,23.30000000000006
-82.20000000000084,23.400000000000063
-82.20000000000084,23.500000000000064
-82.30000000000084,23.700000000000067
